Roundness,Elongation,Avg_R,Avg_G,Avg_B,Label
0.0028683884813209292,1.1501901365595255,96.82504896017906,131.7069849855451,89.58313904690851,Canada
0.008945354445854876,1.054602324035745,73.04565978101365,120.30906422846823,133.19172592843435,Canada
0.007704057212611965,1.1905376550748654,89.0282242632989,86.96239954075774,116.6445656333716,Canada
0.007303082156332764,1.0409660574786357,130.69764357053683,181.65059300873907,118.07123907615481,Canada
0.002746272639288125,1.1622778789302302,84.39080230937687,126.42992235715708,81.35327493529763,Canada
0.002191107043774795,1.0719409891801601,60.755694474383844,94.37587123661709,114.54674139541568,Canada
0.0023982217779893655,1.0448578095462402,81.33185509724301,103.26613592648002,106.93593716606112,Canada
0.002848409530915678,1.0697938399721456,96.86696585164552,54.62137625090271,35.8164654905602,Canada
0.0032548740938492075,1.1787985916121917,77.74071356507383,74.97697881317069,103.40199944969274,Canada
0.0029127978437087747,1.0600768185227876,80.87545094328465,57.997693535986755,39.022414099000535,Canada
0.012637474581819741,1.0441844977881132,185.56486707742687,104.56973587832306,70.23301305528028,Canada
0.008186045768643012,1.025961801355129,182.55436674516227,141.69949831063786,81.95218593222074,Canada
0.0043307501057047336,1.135729157072077,125.53795767551226,90.66661068189453,74.31092542828351,Japan
0.0056275520284508685,1.0778641002742477,62.1922941383766,53.45072242452719,40.949254081992244,Japan
0.0043265518650983555,1.1025333554014487,111.02322946175637,91.08562322946176,90.96912181303117,Japan
0.001986639299402023,1.0910838366113926,98.29329244421245,86.19574579146548,82.42561659924311,Japan
0.006098057132108659,1.0076055466652813,120.73496198981475,92.68447855930327,66.61768396191601,Japan
0.006480407624166384,1.1287255940560952,92.41363487381186,61.726647000983284,34.166065770785536,Japan
0.005104685550595684,1.06467998735847,120.7628249902988,93.63065580131936,67.45393868839736,Japan
0.005232976113712046,1.0138630954552394,109.90628993326708,85.17883004401533,61.229589663495666,Japan
0.0068513160872094685,1.044234948831613,84.08842404047884,62.1421695668271,48.48685671973343,Japan
0.005109930452436386,1.1426650148442765,110.72646623952686,82.24142786735197,55.54460325283391,Japan
0.005675980436912539,1.0737274421578464,83.03703262681591,60.436115741843295,41.224577280304835,Japan
0.006180937927230818,1.022849656060769,84.92136091724825,62.911640079760716,48.979249750747755,Japan
0.0054231845801103315,1.1035609520174638,126.44126611957796,96.94138335287222,69.86440015631106,Japan
0.005088009424570976,1.387432566846247,117.39705209191614,141.8270621624096,99.16213494461229,Korea
0.007116027656271883,1.3746836960633735,95.86376351402434,70.73002192485069,57.14908898465261,Korea
0.007122440894168847,1.320939515609367,98.24294229383638,65.80886880199122,38.803235737210976,Korea
0.006278512694607889,1.25012067873092,91.89895496025905,67.1381365911098,37.08338239623197,Korea
0.004777982213702971,1.4659423900562238,82.25599495161968,89.13462347496845,124.89966344131258,Korea
0.006522785292065967,1.4807560835120581,141.82350986040328,107.62131619765123,94.74795036561046,Korea
0.007592255573481893,1.1695610900329825,88.42659859390693,82.40207566119852,45.47614663542016,Korea
0.006025530266189962,1.2382131836415686,96.3276679553578,81.3208840907433,48.2581515792545,Korea
0.007282226201238959,1.3808298781489643,94.09585253456221,70.67972350230414,58.8468509984639,Korea
0.005307543271991631,1.2667806498989878,96.04705631095608,64.17512636150067,38.2960774542607,Korea
0.005408743177186118,1.2516838724486226,93.79286113551066,69.89619100854428,36.277010301046076,Korea
0.006166276362611391,1.2836289860369565,94.76576713159491,77.24795330503335,45.34573984232868,Korea
0.006010154717986847,1.1977446958638893,70.53218034193677,59.46781965806324,43.55700046207671,USA
0.004807284107453614,1.200757748877624,70.99750460459866,56.864179193155486,41.90755154179787,USA
0.0027941313330584385,1.6236417192617971,68.17358490566038,76.58685751463891,68.73897202342225,USA
0.002195422212627614,1.133949867564782,86.0615462868769,88.02009155645982,72.66717531366565,USA
0.00402971749778471,1.1940983716079043,115.40088680229525,105.55451225873762,78.24213180316467,USA
0.002892442464751976,1.2117600592876097,81.41653130076222,77.19798825440459,64.09333999750093,USA
0.0037445628610815757,1.0483497201671583,75.45432039128072,68.35179035082423,50.211943723205124,USA
0.004397493628151576,1.063344718944109,78.23964056776556,66.35977564102564,47.72401556776557,USA
0.006287993699002594,1.1398452887541202,76.38721654195464,62.14445650311304,41.34311989489918,USA
0.0056029274490117485,1.1761861892745564,86.27913617704802,68.70854899161164,43.96614908679874,USA
0.005341801898757941,1.2665651896897772,43.04106114252497,45.007398404058556,46.61454314854939,USA
0.002261610647627581,1.312717755638836,128.76230702009903,123.60937955141276,104.13406641421497,Vietnam
0.004253918044208462,1.1286341874628272,94.5917977181622,85.11618871415357,68.3154486586494,Vietnam
0.09232357534582768,1.253721515981988,155.70890269151138,142.50066712675408,117.00938578329882,Vietnam
0.008113249382773765,1.2033260037224605,93.75071012469309,77.31678782918492,66.30537769004863,Vietnam
0.0026770403933187225,1.1807545247502427,149.58884172225592,125.46322446504375,122.10915706488781,Vietnam
0.003727179489608694,1.094419088297951,90.02319587628865,75.17682433798261,64.03143319183343,Vietnam
0.0028256910288149122,1.4203096157702924,138.1324533454711,94.8144439387043,91.61766044606281,Vietnam
0.0037048822978599347,1.048992284601264,102.41840712893344,74.77213868003342,62.661514898357005,Vietnam
0.0015796346177105146,1.0543948552371782,118.36809508629719,130.91775581766018,143.1876223871761,Vietnam
0.002631313976085673,1.3304225402499381,68.44325246860905,77.37669145434597,86.9225892965988,Vietnam
0.0014724047408286273,1.090275606949122,130.34609976565116,118.38158687646468,118.48135252761969,Vietnam
0.0026440914130654997,1.2548677709554503,80.95333657384904,68.06853690715923,56.953058815360045,Vietnam
0.0034618213904699935,1.5016946907848523,91.01804293428158,95.35137626761491,102.81351244567365,Vietnam
0.003192719206779186,1.2215616578709672,72.22567520775624,66.7042070637119,60.71866343490305,Vietnam
0.0015829681324761999,1.070360670612179,164.4029590948651,125.62384682332463,121.83492892370177,Vietnam
0.006658006408706783,1.0280913405866396,94.83013611902501,73.87825261158595,59.408420386198166,Vietnam
0.002727013801449426,1.045592341433872,96.4187287400787,112.98712732608551,141.90055359167613,Vietnam
0.0047331550141884735,1.1112734768445534,74.62214319334763,69.40845144082422,62.00104597039904,Vietnam
